cue,constant1,timestamp,stimulus_coherence,response_time,response,constant2
2.0,30.0,592362.096673625,95.0,0.9028501670109108,2.0,1.0
2.0,30.0,592363.129670875,85.0,1.0192283750511706,2.0,1.0
2.0,30.0,592363.771666375,85.0,0.7456172920065001,1.0,1.0
2.0,30.0,592364.63167125,80.0,0.6999635419342667,1.0,1.0
2.0,30.0,592365.380661916,65.0,0.5385239160386845,1.0,1.0
2.0,30.0,592366.354664166,70.0,0.5984650000464171,1.0,1.0
2.0,30.0,592367.624662666,90.0,0.9535357910208404,2.0,1.0
2.0,30.0,592368.40366025,95.0,0.8194182920269668,1.0,1.0
2.0,30.0,592369.567654833,80.0,1.0653572499286383,2.0,1.0
2.0,30.0,592370.32964475,95.0,0.9185376249952242,2.0,1.0
2.0,30.0,592371.032655708,80.0,0.7048722499748692,1.0,1.0
2.0,30.0,592371.779663666,65.0,0.5369837080361322,1.0,1.0
2.0,30.0,592372.60663975,55.0,0.44823091698344797,1.0,1.0
2.0,30.0,592373.975649041,95.0,0.8992771250195801,2.0,1.0
2.0,30.0,592374.777633041,90.0,0.7938333749771118,1.0,1.0
2.0,30.0,592375.738631625,95.0,0.8418274589348584,1.0,1.0
2.0,30.0,592376.550635625,85.0,0.7353322920389473,1.0,1.0
2.0,30.0,592377.677640041,90.0,0.9579029160086066,2.0,1.0
2.0,30.0,592378.379627958,85.0,0.7458448330871761,1.0,1.0
1.0,30.0,592379.346628083,90.0,0.7967456670012325,1.0,-1.0
2.0,30.0,592380.167628166,80.0,0.7025118750752881,1.0,1.0
2.0,30.0,592381.234619875,100.0,0.8540919999359176,1.0,1.0
2.0,30.0,592381.906621708,70.0,0.6101798329036683,1.0,1.0
2.0,30.0,592382.981628708,90.0,0.7722432499285787,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592384.890635708,100.0,0.8472566669806838,1.0,1.0
2.0,30.0,592385.734610708,90.0,0.7747491669142619,1.0,1.0
2.0,30.0,592386.955613625,75.0,1.0780824170215055,2.0,1.0
2.0,30.0,592387.661595833,100.0,0.8708584579871967,1.0,1.0
2.0,30.0,592388.514603333,95.0,0.8042441249126568,1.0,1.0
2.0,30.0,592389.201591125,70.0,0.5748709590407088,1.0,1.0
2.0,30.0,592390.294600041,90.0,0.7589062079787254,1.0,1.0
2.0,30.0,592391.423597291,90.0,0.971112290979363,2.0,1.0
2.0,30.0,592392.570591125,65.0,1.2062397500267252,2.0,1.0
2.0,30.0,592393.264627375,85.0,0.9838376250118017,2.0,1.0
2.0,30.0,592393.99560725,90.0,0.8014561670133844,1.0,1.0
2.0,30.0,592394.912599166,90.0,0.796203708043322,1.0,1.0
2.0,30.0,592395.992604333,90.0,0.9516554999863729,2.0,1.0
2.0,30.0,592396.915593875,90.0,0.9580608749529347,2.0,1.0
2.0,30.0,592397.844592041,90.0,0.9649212079821154,2.0,1.0
2.0,30.0,592398.68358025,100.0,0.8819101250264794,1.0,1.0
2.0,30.0,592400.00658,55.0,1.2917352090589702,2.0,1.0
2.0,30.0,592400.47058175,95.0,0.8370628340635449,1.0,1.0
2.0,30.0,592401.468564083,95.0,0.917447124957107,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592403.153583666,90.0,0.7738106249598786,1.0,1.0
2.0,30.0,592403.994558708,80.0,0.6904431250877678,1.0,1.0
2.0,30.0,592404.942561916,85.0,0.7201601249398664,1.0,1.0
2.0,30.0,592405.801560458,75.0,0.6621826670598239,1.0,1.0
2.0,30.0,592406.948554416,95.0,0.9014092079596594,2.0,1.0
2.0,30.0,592407.951546958,90.0,0.9793330419342965,2.0,1.0
2.0,30.0,592408.8585565,90.0,0.9681752501055598,2.0,1.0
2.0,30.0,592409.762560666,90.0,0.9546324999537319,2.0,1.0
2.0,30.0,592410.528539125,95.0,0.8046514999587089,1.0,1.0
2.0,30.0,592411.659524458,85.0,1.014660416985862,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592413.226543125,85.0,0.7436898340238258,1.0,1.0
2.0,30.0,592414.150540166,85.0,0.7459869999438524,1.0,1.0
2.0,30.0,592415.147560916,95.0,0.8251926250522956,1.0,1.0
2.0,30.0,592416.056523083,95.0,0.8165976670570672,1.0,1.0
2.0,30.0,592417.106524166,95.0,0.943953082896769,2.0,1.0
